Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Keith Closs,Nuggets,48.41,335.68,21.42,2.2,4.6,47.95,843
Mark Blount,Nuggets,38.23,43.16,11.99,2.41,5.61,43.01,150
Bo Outlaw,Nuggets,47.15,1129.4,24.52,6.72,14.55,46.2,2199
Rodney Rogers,Nuggets,50.11,290.36,15.79,1.75,3.82,45.79,1073
Chris Gatling,Nuggets,58.11,1664.08,22.5,10.75,19.61,54.8,2745
Sasha Danilovic,Nuggets,54.96,1135.36,24.22,8.06,16.89,47.7,2583
Lamont Strothers,Nuggets,39.59,59.36,17.46,1.5,3.44,43.74,182
Gary Payton,Nuggets,55.44,483.4,16.45,4.49,7.87,57.1,1785
Damon Stoudamire,Nuggets,60.03,838.76,15.67,8.0,14.02,57.05,2771
Tony Delk,Nuggets,43.02,19.76,12.3,0.77,2.24,34.24,88
Roy Tarpley,Rockets,51.39,1428.4,28.61,8.43,16.69,50.54,2451
Chris Washburn,Rockets,47.51,201.0,24.32,2.48,5.34,46.49,467
Kevin Duckworth,Rockets,50.51,397.92,15.08,3.01,6.29,47.89,1340
Chris Webber,Rockets,51.48,1507.52,25.19,9.71,19.49,49.82,2519
Kenny Williams,Rockets,47.78,253.24,21.08,1.87,4.18,44.76,726
Derrick Chievous,Rockets,49.75,463.36,18.4,6.0,13.33,45.02,1252
Mark Hendrickson,Rockets,44.12,20.4,13.23,0.59,1.53,38.23,64
Mark Macon,Rockets,54.54,546.36,15.37,3.6,7.51,47.91,1939
Charles Smith Dos,Rockets,53.93,289.28,13.24,2.62,5.35,48.91,1207
James Collins,Rockets,25.0,4.0,17.67,0.38,1.47,25.66,13
Mookie Blaylock,Rockets,53.83,1083.88,21.86,9.97,19.02,52.4,2780
Scott Skiles,Rockets,44.17,211.68,14.2,3.48,6.66,52.18,761
Stephon Marbury,Rockets,53.85,351.0,16.2,3.07,5.91,52.02,1178
Julius Hernandez,Timberwolves,52.75,837.92,18.05,5.47,11.1,49.22,2331
Michael Stewart,Timberwolves,46.02,370.52,29.9,3.06,6.56,46.69,704
Derrick Coleman,Timberwolves,51.67,1117.6,21.82,7.19,14.48,49.68,2577
Randy Breuer,Timberwolves,43.99,314.88,13.14,2.16,5.22,41.41,1474
Lance Blanks,Timberwolves,58.61,882.04,19.73,6.32,11.79,53.62,2215
Bill Curley,Timberwolves,60.53,161.08,25.66,2.6,4.18,62.17,346
Steve Smith,Timberwolves,57.08,1600.32,24.47,10.34,20.47,50.48,2453
Reggie Miller,Timberwolves,53.33,232.52,12.74,2.19,4.58,47.97,1096
Pooh Richardson,Timberwolves,45.96,322.04,20.7,3.14,7.12,44.06,964
Melvin Booker,Timberwolves,51.18,1542.48,25.68,11.4,22.77,50.07,2824
Duane Cooper,Timberwolves,51.4,247.08,20.83,2.85,5.45,52.32,704
Damon Bailey,Timberwolves,44.31,200.88,25.5,2.19,4.58,47.85,415
Shaquille O'Neal,Suns,50.58,1320.68,25.72,10.05,19.73,50.94,2351
Matt Geiger,Suns,45.46,183.68,13.13,1.39,3.11,44.6,734
Geert Hammink,Suns,45.55,9.88,9.17,0.88,1.54,57.27,31
Jeff Nordgaard,Suns,43.7,690.0,16.22,3.95,8.46,46.71,2142
Jayson Williams,Suns,51.93,532.4,26.59,3.53,6.6,53.41,1051
Glenn Robinson,Suns,53.19,942.88,21.35,5.59,11.64,48.02,2303
Marcus Mann,Suns,57.49,57.4,19.03,1.82,3.47,52.39,149
Andrei Fetisov,Suns,52.11,634.2,24.13,3.98,7.86,50.64,1352
Sean Elliott,Suns,56.02,1449.52,18.64,9.44,18.4,51.32,3026
Bobby Phills,Suns,48.89,334.44,17.54,2.32,4.98,46.66,949
Dan Majerle,Suns,59.06,158.32,13.51,2.12,3.94,53.77,589
Bimbo Coles,Suns,51.81,462.24,22.17,4.8,9.82,48.85,1169
Lafayette Lever,Suns,50.99,583.48,17.48,5.64,10.49,53.73,1809
Alonzo Mourning,Spurs,52.58,1442.44,24.21,9.99,19.24,51.95,2710
Stacey King,Spurs,43.83,661.72,16.21,3.64,9.09,40.02,2481
Brad Sellers,Spurs,47.39,577.12,15.92,3.55,7.3,48.6,1816
Jerald Honeycutt,Spurs,30.27,16.52,7.19,0.37,1.34,27.59,138
Albert Burditt,Spurs,48.6,87.44,14.18,1.18,2.28,51.9,313
Tom Gugliotta,Spurs,53.16,1505.96,22.36,9.63,18.35,52.51,3055
Dejan Bodiroga,Spurs,50.67,432.2,23.96,3.18,6.29,50.58,1171
Hersey Hawkins,Spurs,55.28,1081.68,19.2,6.96,14.46,48.11,2486
Todd Lichti,Spurs,53.87,780.6,20.09,5.18,10.33,50.18,1919
Tariq Abdul-Wahad,Spurs,62.07,34.64,20.93,1.17,1.88,62.18,97
Mitchell Jordan,Spurs,54.05,945.4,18.87,7.25,14.64,49.5,2817
